edge,label
"(3, 206)",1
"(3, 207)",1
"(3, 208)",0
"(3, 212)",1
"(3, 213)",1
"(3, 214)",1
"(3, 217)",1
"(3, 218)",0
"(3, 220)",0
"(3, 222)",0
"(3, 224)",1
"(3, 226)",0
"(3, 228)",1
"(3, 229)",0
"(3, 230)",0
"(3, 231)",1
"(3, 232)",0
"(3, 233)",0
"(3, 235)",0
"(3, 237)",0
"(3, 238)",1
"(3, 239)",0
"(3, 242)",1
"(3, 243)",0
"(3, 244)",1
"(3, 246)",1
"(3, 247)",0
"(3, 248)",0
"(3, 253)",0
"(3, 254)",0
"(4, 5)",0
"(4, 6)",0
"(4, 7)",0
"(4, 9)",0
"(4, 12)",0
"(4, 14)",0
"(4, 17)",0
"(4, 20)",0
"(4, 22)",0
"(4, 27)",0
"(4, 30)",0
"(4, 35)",0
"(4, 36)",0
"(4, 37)",0
"(4, 38)",0
"(4, 39)",0
"(4, 40)",0
"(4, 42)",0
"(4, 43)",0
"(4, 45)",0
"(4, 46)",0
"(4, 47)",0
"(4, 48)",0
"(4, 49)",0
"(4, 51)",0
"(4, 52)",0
"(4, 53)",0
"(4, 54)",0
"(4, 55)",0
"(4, 58)",0
"(4, 61)",0
"(4, 62)",0
"(4, 64)",0
"(4, 65)",0
"(4, 66)",0
"(4, 67)",0
"(4, 69)",0
"(4, 70)",0
"(4, 71)",0
"(4, 72)",0
"(4, 73)",0
"(4, 75)",0
"(4, 78)",0
"(4, 79)",0
"(4, 81)",0
"(4, 82)",0
"(4, 85)",0
"(4, 87)",0
"(4, 90)",0
"(4, 91)",0
"(4, 92)",0
"(4, 93)",0
"(4, 94)",0
"(4, 98)",0
"(4, 99)",0
"(4, 100)",0
"(4, 101)",0
"(4, 102)",0
"(4, 103)",0
"(4, 105)",0
"(4, 107)",0
"(4, 110)",0
"(4, 112)",0
"(4, 113)",0
"(4, 114)",0
"(4, 115)",0
"(4, 116)",0
"(4, 117)",0
"(4, 118)",0
"(4, 119)",0
"(4, 121)",0
"(4, 122)",0
"(4, 125)",0
"(4, 129)",0
"(4, 130)",0
"(4, 131)",0
"(4, 133)",0
"(4, 135)",0
"(4, 137)",0
"(4, 140)",0
"(4, 141)",0
"(4, 142)",0
"(4, 146)",0
"(4, 147)",0
"(4, 149)",0
"(4, 150)",0
"(4, 151)",0
"(4, 153)",0
"(4, 155)",0
"(4, 157)",0
"(4, 158)",0
"(4, 159)",0
"(4, 162)",0
"(4, 170)",0
"(4, 173)",0
"(4, 174)",0
"(4, 175)",0
"(4, 176)",0
"(4, 178)",0
"(4, 181)",0
"(4, 182)",0
"(4, 183)",0
"(4, 184)",0
"(4, 185)",0
"(4, 186)",0
"(4, 190)",0
"(4, 191)",0
"(4, 192)",0
"(4, 193)",0
"(4, 195)",0
"(4, 197)",0
"(4, 198)",0
"(4, 204)",0
"(4, 206)",0
"(4, 207)",0
"(4, 209)",0
"(4, 210)",0
"(4, 211)",0
"(4, 215)",0
"(4, 216)",0
"(4, 217)",0
"(4, 219)",0
"(4, 220)",0
"(4, 221)",0
"(4, 222)",0
"(4, 223)",0
"(4, 224)",0
"(4, 225)",0
"(4, 226)",0
"(4, 227)",0
"(4, 228)",0
"(4, 229)",0
"(4, 232)",0
"(4, 236)",0
"(4, 238)",0
"(4, 240)",0
"(4, 242)",0
"(4, 243)",0
"(4, 244)",0
"(4, 245)",0
"(4, 246)",0
"(4, 247)",0
"(4, 248)",0
"(4, 249)",0
"(4, 250)",0
"(4, 251)",0
"(4, 252)",0
"(4, 254)",0
"(5, 9)",0
"(5, 11)",0
"(5, 12)",0
"(5, 15)",0
"(5, 16)",0
"(5, 17)",0
"(5, 21)",0
"(5, 23)",0
"(5, 24)",0
"(5, 25)",0
"(5, 28)",0
"(5, 30)",0
"(5, 31)",0
"(5, 32)",0
"(5, 33)",0
"(5, 35)",0
"(5, 38)",0
"(5, 39)",0
"(5, 41)",0
"(5, 42)",0
"(5, 45)",0
"(5, 46)",0
"(5, 47)",0
"(5, 48)",0
"(5, 49)",0
"(5, 50)",0
"(5, 51)",0
"(5, 52)",0
"(5, 53)",0
"(5, 58)",0
"(5, 59)",0
"(5, 63)",0
"(5, 65)",0
"(5, 66)",0
"(5, 67)",0
"(5, 70)",0
"(5, 74)",0
"(5, 75)",0
"(5, 76)",0
"(5, 78)",0
"(5, 79)",0
"(5, 80)",0
"(5, 82)",0
"(5, 84)",0
"(5, 85)",0
"(5, 86)",0
"(5, 88)",0
"(5, 89)",0
"(5, 90)",0
"(5, 92)",0
"(5, 93)",0
"(5, 94)",0
"(5, 97)",0
"(5, 98)",0
"(5, 99)",0
"(5, 100)",0
"(5, 103)",0
"(5, 104)",0
"(5, 105)",0
"(5, 107)",0
"(5, 108)",0
"(5, 110)",0
"(5, 112)",0
"(5, 114)",0
"(5, 115)",0
"(5, 117)",0
"(5, 121)",0
"(5, 123)",0
"(5, 126)",0
"(5, 127)",0
"(5, 128)",0
"(5, 129)",0
"(5, 132)",0
"(5, 133)",0
"(5, 135)",0
"(5, 136)",0
"(5, 140)",0
"(5, 141)",0
"(5, 142)",0
"(5, 143)",0
"(5, 148)",0
"(5, 149)",0
"(5, 150)",0
"(5, 152)",0
"(5, 153)",0
"(5, 155)",0
"(5, 158)",0
"(5, 159)",0
"(5, 161)",0
"(5, 162)",0
"(5, 164)",0
"(5, 166)",0
"(5, 167)",0
"(5, 168)",0
"(5, 169)",0
"(5, 171)",0
"(5, 172)",0
"(5, 173)",0
"(5, 176)",0
"(5, 178)",0
"(5, 179)",0
"(5, 180)",0
"(5, 181)",0
"(5, 184)",0
"(5, 185)",0
"(5, 187)",0
"(5, 188)",0
"(5, 189)",0
"(5, 190)",0
"(5, 191)",0
"(5, 193)",0
"(5, 194)",0
"(5, 199)",0
"(5, 200)",0
"(5, 201)",0
"(5, 202)",0
"(5, 204)",0
"(5, 207)",0
"(5, 208)",0
"(5, 212)",0
"(5, 213)",0
"(5, 214)",0
"(5, 216)",0
"(5, 217)",0
"(5, 218)",0
"(5, 219)",0
"(5, 220)",0
"(5, 221)",0
"(5, 222)",0
"(5, 224)",0
"(5, 225)",0
"(5, 226)",0
"(5, 229)",0
"(5, 231)",0
"(5, 232)",0
"(5, 233)",0
"(5, 236)",0
"(5, 238)",0
"(5, 240)",0
"(5, 241)",0
"(5, 243)",0
"(5, 245)",0
"(5, 246)",0
"(5, 247)",0
"(5, 249)",0
"(5, 250)",0
"(5, 253)",0
"(6, 8)",0
"(6, 9)",0
"(6, 10)",0
"(6, 11)",0
"(6, 13)",0
"(6, 14)",0
"(6, 15)",0
"(6, 17)",0
"(6, 20)",0
"(6, 21)",0
"(6, 23)",0
"(6, 26)",0
"(6, 27)",0
"(6, 29)",0
"(6, 30)",0
"(6, 32)",0
"(6, 33)",0
"(6, 34)",0
"(6, 35)",0
"(6, 37)",0
"(6, 38)",0
"(6, 42)",0
"(6, 43)",0
"(6, 44)",0
"(6, 45)",0
"(6, 46)",0
"(6, 47)",0
"(6, 48)",0
"(6, 49)",0
"(6, 53)",0
"(6, 55)",0
"(6, 57)",0
"(6, 58)",0
"(6, 59)",0
"(6, 62)",0
"(6, 63)",0
"(6, 64)",0
"(6, 65)",0
"(6, 66)",0
"(6, 68)",0
"(6, 69)",0
"(6, 70)",0
"(6, 71)",0
"(6, 73)",0
"(6, 74)",0
"(6, 75)",0
"(6, 77)",0
"(6, 78)",0
"(6, 79)",0
"(6, 85)",0
"(6, 87)",0
"(6, 88)",0
"(6, 89)",0
"(6, 91)",0
"(6, 92)",0
"(6, 95)",0
"(6, 96)",0
"(6, 98)",0
"(6, 100)",0
"(6, 101)",0
"(6, 102)",0
"(6, 103)",0
"(6, 104)",0
"(6, 105)",0
"(6, 108)",0
"(6, 109)",0
"(6, 110)",0
"(6, 111)",0
"(6, 112)",0
"(6, 113)",0
"(6, 114)",0
"(6, 115)",0
"(6, 117)",0
"(6, 118)",0
"(6, 119)",0
"(6, 120)",0
"(6, 124)",0
"(6, 125)",0
"(6, 127)",0
"(6, 129)",0
"(6, 130)",0
"(6, 131)",0
"(6, 132)",0
"(6, 135)",0
"(6, 137)",0
"(6, 143)",0
"(6, 145)",0
"(6, 148)",0
"(6, 150)",0
"(6, 151)",0
"(6, 152)",0
"(6, 153)",0
"(6, 156)",0
"(6, 157)",0
"(6, 158)",0
"(6, 162)",0
"(6, 163)",0
"(6, 164)",0
"(6, 165)",0
"(6, 166)",0
"(6, 167)",0
"(6, 168)",0
"(6, 169)",0
"(6, 170)",0
"(6, 171)",0
"(6, 173)",0
"(6, 174)",0
"(6, 176)",0
"(6, 178)",0
"(6, 179)",0
"(6, 181)",0
"(6, 182)",0
"(6, 184)",0
"(6, 186)",0
"(6, 188)",0
"(6, 189)",0
"(6, 191)",0
"(6, 192)",0
"(6, 196)",0
"(6, 197)",0
"(6, 198)",0
"(6, 199)",0
"(6, 201)",0
"(6, 203)",0
"(6, 204)",0
"(6, 207)",0
"(6, 208)",0
"(6, 209)",0
"(6, 211)",0
"(6, 213)",0
"(6, 214)",0
"(6, 215)",0
"(6, 216)",0
"(6, 217)",0
"(6, 218)",0
"(6, 220)",0
"(6, 221)",0
"(6, 222)",0
"(6, 223)",0
"(6, 224)",0
"(6, 225)",0
"(6, 226)",0
"(6, 228)",0
"(6, 229)",0
"(6, 230)",0
"(6, 232)",0
"(6, 234)",0
"(6, 239)",0
"(6, 240)",0
"(6, 241)",0
"(6, 242)",0
"(6, 243)",0
"(6, 244)",0
"(6, 249)",0
"(6, 250)",0
"(6, 253)",0
"(7, 9)",1
"(7, 10)",0
"(7, 11)",1
"(7, 12)",0
"(7, 13)",0
"(7, 16)",1
"(7, 18)",1
"(7, 22)",0
"(7, 25)",1
"(7, 26)",0
"(7, 29)",0
"(7, 31)",0
"(7, 32)",0
"(7, 33)",1
"(7, 34)",0
"(7, 37)",1
"(7, 39)",1
"(7, 41)",0
"(7, 43)",1
"(7, 44)",1
"(7, 45)",1
"(7, 47)",0
"(7, 48)",1
"(7, 50)",0
"(7, 51)",0
"(7, 52)",0
"(7, 54)",0
"(7, 55)",1
"(7, 57)",1
"(7, 59)",0
"(7, 60)",0
"(7, 61)",1
"(7, 62)",0
"(7, 63)",1
"(7, 64)",0
"(7, 66)",0
"(7, 68)",0
"(7, 69)",0
"(7, 71)",0
"(7, 72)",1
"(7, 73)",0
"(7, 74)",0
"(7, 75)",1
"(7, 77)",1
"(7, 79)",0
"(7, 80)",0
"(7, 82)",0
"(7, 83)",1
"(7, 84)",0
"(7, 85)",0
"(7, 86)",0
"(7, 88)",1
"(7, 90)",0
"(7, 92)",1
"(7, 93)",1
"(7, 94)",1
"(7, 95)",0
"(7, 96)",1
"(7, 97)",0
"(7, 101)",1
"(7, 104)",1
"(7, 105)",1
"(7, 106)",1
"(7, 107)",0
"(7, 109)",1
"(7, 110)",0
"(7, 111)",0
"(7, 112)",1
"(7, 114)",1
"(7, 121)",1
"(7, 122)",1
"(7, 124)",1
"(7, 126)",0
"(7, 127)",1
"(7, 131)",0
"(7, 132)",1
"(7, 133)",0
"(7, 134)",0
"(7, 137)",1
"(7, 139)",0
"(7, 143)",1
"(7, 144)",1
"(7, 145)",1
"(7, 146)",0
"(7, 147)",0
"(7, 148)",1
"(7, 149)",1
"(7, 152)",1
"(7, 153)",0
"(7, 155)",0
"(7, 156)",1
"(7, 158)",1
"(7, 160)",0
"(7, 161)",1
"(7, 162)",1
"(7, 165)",1
"(7, 168)",1
"(7, 170)",1
"(7, 171)",0
"(7, 172)",1
"(7, 173)",0
"(7, 174)",1
"(7, 176)",0
"(7, 177)",0
"(7, 178)",1
"(7, 180)",1
"(7, 181)",1
"(7, 182)",0
"(7, 186)",1
"(7, 187)",1
"(7, 189)",0
"(7, 191)",0
"(7, 192)",0
"(7, 193)",0
"(7, 194)",0
"(7, 195)",1
"(7, 196)",1
"(7, 197)",1
"(7, 199)",1
"(7, 200)",1
"(7, 202)",0
"(7, 203)",0
"(7, 204)",0
"(7, 205)",1
"(7, 208)",0
"(7, 209)",0
"(7, 210)",0
"(7, 215)",1
"(7, 216)",1
"(7, 217)",1
"(7, 218)",0
"(7, 222)",0
"(7, 223)",0
"(7, 225)",1
"(7, 226)",0
"(7, 227)",0
"(7, 228)",1
"(7, 233)",0
"(7, 234)",0
"(7, 236)",1
"(7, 237)",0
"(7, 240)",1
"(7, 242)",1
"(7, 244)",1
"(7, 245)",0
"(7, 247)",0
"(7, 248)",0
"(7, 252)",0
"(8, 10)",0
"(8, 11)",1
"(8, 12)",0
"(8, 13)",1
"(8, 14)",0
"(8, 15)",0
"(8, 16)",1
"(8, 17)",0
"(8, 18)",1
"(8, 19)",0
"(8, 21)",0
"(8, 24)",0
"(8, 25)",1
"(8, 26)",0
"(8, 28)",0
"(8, 29)",0
"(8, 30)",1
"(8, 31)",0
"(8, 32)",0
"(8, 33)",1
"(8, 37)",1
"(8, 38)",1
"(8, 39)",1
"(8, 41)",0
"(8, 44)",1
"(8, 45)",1
"(8, 46)",0
"(8, 48)",1
"(8, 49)",1
"(8, 50)",0
"(8, 51)",0
"(8, 52)",0
"(8, 54)",0
"(8, 56)",0
"(8, 57)",1
"(8, 59)",0
"(8, 60)",0
"(8, 62)",0
"(8, 64)",0
"(8, 65)",0
"(8, 66)",0
"(8, 68)",0
"(8, 71)",0
"(8, 72)",1
"(8, 74)",0
"(8, 75)",1
"(8, 76)",0
"(8, 77)",1
"(8, 79)",0
"(8, 80)",0
"(8, 84)",0
"(8, 85)",0
"(8, 86)",0
"(8, 90)",0
"(8, 91)",0
"(8, 92)",1
"(8, 93)",1
"(8, 95)",0
"(8, 96)",1
"(8, 97)",0
"(8, 98)",1
"(8, 100)",1
"(8, 102)",0
"(8, 103)",1
"(8, 104)",1
"(8, 105)",1
"(8, 106)",1
"(8, 109)",1
"(8, 110)",0
"(8, 111)",0
"(8, 112)",1
"(8, 113)",0
"(8, 114)",1
"(8, 116)",0
"(8, 118)",1
"(8, 120)",0
"(8, 121)",1
"(8, 122)",1
"(8, 123)",0
"(8, 124)",1
"(8, 126)",0
"(8, 128)",1
"(8, 130)",1
"(8, 132)",1
"(8, 133)",0
"(8, 134)",0
"(8, 135)",0
"(8, 140)",0
"(8, 141)",1
"(8, 145)",1
"(8, 146)",0
"(8, 147)",0
"(8, 149)",1
"(8, 150)",1
"(8, 151)",1
"(8, 152)",1
"(8, 153)",0
"(8, 156)",1
"(8, 160)",0
"(8, 161)",1
"(8, 162)",1
"(8, 163)",0
"(8, 164)",0
"(8, 166)",0
"(8, 169)",1
"(8, 170)",1
"(8, 171)",0
"(8, 174)",1
"(8, 175)",1
"(8, 176)",0
"(8, 178)",1
"(8, 180)",1
"(8, 181)",1
"(8, 182)",0
"(8, 183)",0
"(8, 188)",0
"(8, 190)",1
"(8, 192)",0
"(8, 194)",0
"(8, 195)",1
"(8, 196)",1
"(8, 197)",1
"(8, 199)",1
"(8, 200)",1
"(8, 202)",0
"(8, 203)",0
"(8, 205)",1
"(8, 208)",0
"(8, 209)",0
"(8, 211)",0
"(8, 212)",1
"(8, 213)",1
"(8, 214)",1
"(8, 216)",1
"(8, 217)",1
"(8, 218)",0
"(8, 221)",1
"(8, 222)",0
"(8, 223)",0
"(8, 232)",0
"(8, 233)",0
"(8, 234)",0
"(8, 238)",1
"(8, 244)",1
"(8, 245)",0
"(8, 246)",1
"(8, 247)",0
"(8, 252)",0
"(8, 254)",0
"(9, 10)",0
"(9, 11)",1
"(9, 15)",0
"(9, 16)",1
"(9, 20)",1
"(9, 22)",0
"(9, 23)",1
"(9, 26)",0
"(9, 27)",1
"(9, 28)",0
"(9, 31)",0
"(9, 34)",0
"(9, 35)",1
"(9, 37)",1
"(9, 38)",1
"(9, 39)",1
"(9, 42)",1
"(9, 45)",1
"(9, 46)",0
"(9, 47)",0
